Problem 4 summary
beam_hinge=compare
integrator=explicit
drift_limit=0.100
snapshot_limit=0.040
alpha=-0.050
A_g,peak_drift,dt
0.100,0.000223,0.002000
0.200,0.000223,0.002000
0.300,0.000223,0.002000
0.400,0.000223,0.002000
0.500,0.000223,0.002000
0.600,0.000223,0.002000
0.700,0.000223,0.002000
0.800,0.000223,0.002000
0.900,0.000223,0.002000
1.000,0.000223,0.002000
1.100,0.000223,0.002000
1.200,0.000223,0.002000
1.300,0.000223,0.002000
1.400,0.000223,0.002000
1.500,0.000223,0.002000
1.600,0.000223,0.002000
1.700,0.000223,0.002000
1.800,0.000223,0.002000
1.900,0.000223,0.002000
2.000,0.000223,0.002000
collapse_A_g=2.000
