Problem 4 summary
beam_hinge=shm
integrator=explicit
drift_limit=0.100
snapshot_limit=0.040
alpha=-0.050
A_g,peak_drift,dt
0.100,0.000002,0.002000
0.200,0.000003,0.002000
0.300,0.000005,0.002000
0.400,0.000006,0.002000
0.500,0.000008,0.002000
0.600,0.000010,0.002000
0.700,0.000011,0.002000
0.800,0.000013,0.002000
0.900,0.000014,0.002000
1.000,0.000016,0.002000
1.100,0.000017,0.002000
1.200,0.000019,0.002000
1.300,0.000021,0.002000
1.400,0.000022,0.002000
1.500,0.000024,0.002000
1.600,0.000025,0.002000
1.700,0.000027,0.002000
1.800,0.000029,0.002000
1.900,0.000030,0.002000
2.000,0.000032,0.002000
collapse_A_g=2.000
